obs,order1,terminal,species,stom_index,stom_dens,GCL,epi_dens,epid_areas,gsmax
30,1,Garnieria,Garnieria_spathuliifolia,9.889310924,45.55027094,61.6,412.9102482,2003.236218,2.546972356
31,1,Gevuina,Gevuina_avellana,8.371838346,128.9390048,32.33333333,1368.644535,730.6499052,3.784315599
32,1,Grevillea,Grevillea_australis,16.31072388,304.6361102,28.62360484,1563.068306,639.7673067,7.915133852
33,0,Grevillea,Grevillea_hilliana,9.420289705,245.5981,26.1337619,2361.520234,352.4267933,5.826120828
34,1,Hakea,Hakea_lissosperma,4.950306454,65.07181562,42.43615958,8061.650012,376.7834962,2.506579901
35,0,Hakea,Hakea_salicifolia,10.78319382,71.57899718,40.60499971,653.675966,1368.934699,2.638260504
36,1,Helicia,Helicia_australasica,10.76948533,231.43,28.644832,1917.512062,521.5091055,6.017533122
37,0,Helicia,Helicia_cochinchinensis,15.66469959,155.8603354,27.3,839.5204431,822.13,3.862342723
38,0,Helicia,Helicia_nortoniana,15.33090166,278.6593876,24.81639888,1546.795753,666.0681773,6.277185949
39,1,Hicksbeachia,Hicksbeachia_pilosa,15.72466053,106.48,30.21768416,570.6729329,1752.317207,2.92066519
40,0,Hicksbeachia,Hicksbeachia_pinnatifolia,16.04779984,101.1570952,34.00500725,529.1915893,1889.67478,3.122423279
41,1,Hollandaea,Hollandaea_riparia,12.68054119,189.8913892,33.91697363,1307.056151,629.4794318,5.846216846
42,0,Hollandaea,Hollandaea_sayeriana,12.88489706,188.9216,27.11600118,1277.30354,782.899263,4.65007346
43,1,Isopogon,Isopogon_ceratophyllus,13.98844964,131.3267552,31.41330714,807.4820757,929.4761754,3.74472068
44,0,Isopogon,Isopogon_cuneatus,16.6823272,169.4825016,35.81847013,842.0884503,1044.996424,5.51041684
45,0,Isopogon,Isopogon_fletcheri,19.43679864,108.6107759,41.32006667,450.1786517,1809.423027,4.073676
46,1,Knightia,Knightia_excelsa,12,154.3976716,29.72126437,1132.249592,640.2502402,4.165437111
47,1,Lambertia,Lambertia_formosa,22.7375568,233.7905032,35.24313119,793.4707986,717.8994812,7.479178646
