delete,AGE 1,CO2,CO2 Anagnostou,Zachos,Hansen,gcl,epi area,stom dens,gmax,SI,loggcl,log epi area,log stom dens,log gmax,log SI
0,45,1040,948.8483128,0.721,8.491,21,248.6,252,0.048036614,6.583941066,1.322219295,2.395501124,2.401400541,-1.31842761,0.818485935
0,45,1040,948.8483128,0.721,8.491,63.2,3665.4,41,0.023520876,15.23352509,1.800717078,3.564121376,1.612783857,-1.62854651,1.182800412
0,45,1040,948.8483128,0.721,8.491,26.8,415.1,135,0.032841359,5.842966997,1.428134794,2.618152733,2.130333768,-1.483578883,0.766633433
0,45,1040,948.8483128,0.721,8.491,26.2,380.9,235,0.055888404,9.643577163,1.418301291,2.580810973,2.371067862,-1.252678292,0.98423816
0,45,1040,948.8483128,0.721,8.491,29,1049.9,99,0.02606068,10.18340596,1.462397998,3.021147936,1.995635195,-1.584014253,1.007893057
0,47,1054,1002.416735,0.401,10.647,17.6,334.89,388,0.061986476,12.8682608,1.245512668,2.524902179,2.588831726,-1.207703052,1.109519854
0,47,1054,1002.416735,0.401,10.647,20.8,,,,,1.318063335,,,,
0,47,1054,1002.416735,0.401,10.647,21.8,,,,,1.338456494,,,,
0,47,1054,1002.416735,0.401,10.647,22.8,,,,,1.357934847,,,,
0,47,1054,1002.416735,0.401,10.647,23.1,,,,,1.36361198,,,,
0,49,1060,963.1824029,0.092,11.472,17.3,182,350,0.054962528,6.642692491,1.238046103,2.260071388,2.544068044,-1.259933298,0.822344148
0,49,1060,963.1824029,0.092,11.472,31.1,525,194,0.05476646,11.14075099,1.492760389,2.720159303,2.28780173,-1.261485326,1.046914467
0,49,1060,963.1824029,0.092,11.472,27.6,708,154,0.038581789,10.9942216,1.440909082,2.850033258,2.187520721,-1.413617643,1.041164486
0,49,1060,963.1824029,0.092,11.472,20.9,253,289,0.054827278,7.721895506,1.320146286,2.403120521,2.460897843,-1.261003317,0.88772392
0,50,1080,969.3633147,-0.034,12.307,15.6,338.56,380,0.053809722,12.41611464,1.193124598,2.529635646,2.579783597,-1.26913925,1.093985714
0,50,1080,969.3633147,-0.034,12.307,23.1,285.61,282,0.059130785,8.659836312,1.36361198,2.455773409,2.450249108,-1.228186357,0.937509683
0,50,1080,969.3633147,-0.034,12.307,21.6,388.09,316,0.061957429,12.57547194,1.334453751,2.588932452,2.499687083,-1.207906612,1.099524293
0,51,1035,1026.645841,-0.08,12.846,24,823.69,198,0.043134919,15.54661526,1.380211242,2.915763793,2.29666519,-1.365171013,1.191635851
0,51,1035,1026.645841,-0.08,12.846,25.8,624,210,0.049180343,13.21959745,1.411619706,2.79518459,2.322219295,-1.308208445,1.121218231
0,56,370,,0.549,10.022,17.1,198.81,350,0.054327123,7.194026302,1.23299611,2.298438225,2.544068044,-1.264983291,0.856972021
0,56,370,,0.549,10.022,15.8,,,,,1.198657087,,,,
0,56,370,,0.549,10.022,17.7,,,,,1.247973266,,,,
0,56,370,,0.549,10.022,23,275.56,356,0.074324225,10.78281126,1.361727836,2.440216176,2.551449998,-1.128869611,1.032732003
0,56,370,,0.549,10.022,23,979.69,121,0.025261885,11.24122573,1.361727836,2.991088675,2.08278537,-1.597534239,1.050813669
0,56,370,,0.549,10.022,19.2,285.61,628,0.109449411,18.92300734,1.283301229,2.455773409,2.797959644,-0.960786573,1.276990158
0,56,370,,0.549,10.022,23.5,408.04,434,0.092578501,18.89128767,1.371067862,2.610702739,2.63748973,-1.033489854,1.276261561
0,56,370,,0.549,10.022,24.8,275.56,361,0.081266478,11.33710394,1.394451681,2.440216176,2.557507202,-1.090088563,1.054502128
0,56,370,,0.549,10.022,24,513.5,264,0.057513225,13.78383325,1.380211242,2.710540448,2.421603927,-1.240232277,1.139370011
0,56,370,,0.549,10.022,24.2,353.4,450,0.098850856,17.75895262,1.383815366,2.548266545,2.653212514,-1.005019566,1.249417349
0,56,370,,0.549,10.022,26.3,409,274,0.065412217,12.14751045,1.419955748,2.611723308,2.437750563,-1.184341134,1.084487281
0,56,370,,0.549,10.022,26.2,487.3,178,0.042332493,8.992703647,1.418301291,2.687796411,2.250420002,-1.373326152,0.953890282
1,71.3,,,0.76,8.728,29.4,582.3,128,0.03415937,7.73261589,1.46834733,2.76514679,2.10720997,-1.466490145,0.888326438
1,71.3,,,0.76,8.728,18.2,412.1,214,0.035353931,8.668932446,1.260071388,2.615002615,2.330413773,-1.451562284,0.937965619
1,71.3,,,0.76,8.728,22.4,479.6,190,0.038632621,9.150929072,1.350248018,2.680879174,2.278753601,-1.413045826,0.961465189
1,71.3,,,0.76,8.728,27.4,814.1,200,0.04974313,16.07831984,1.437750563,2.910677755,2.301029996,-1.303266887,1.206240664
1,71.3,,,0.76,8.728,23.4,531.4,232,0.049278377,12.37487489,1.369215857,2.72542155,2.365487985,-1.307343603,1.092540817
1,71.3,,,0.76,8.728,22.2,486,208,0.041914941,10.12320248,1.346352974,2.686636269,2.318063335,-1.377631136,1.005317924
1,71.3,,,0.76,8.728,30.3,632.8,180,0.049507123,12.0069851,1.481442629,2.80126647,2.255272505,-1.305332312,1.079433972
1,71.3,,,0.76,8.728,26.1,614.5,288,0.068231599,18.04427528,1.416640507,2.788521887,2.459392488,-1.16601445,1.256339444
1,71.3,,,0.76,8.728,25.7,706.3,175,0.040824768,12.26194902,1.409933123,2.848989206,2.243038049,-1.389076273,1.088559506
1,71.3,,,0.76,8.728,59.7,1877.4,42,0.022760205,8.486254592,1.775974331,3.273556814,1.62324929,-1.642823824,0.928716057
